"Time","Rainfall","Rainfall (previous month)","Temperature","Temperature (previous month)"
-1575244800000,40.8,40.6,6,5.2
-1572739200000,44.4,40.8,7.2,6
-1570060800000,46.7,44.4,8.199999999999999,7.2
-1567468800000,54.1,46.7,11.8,8.199999999999999
-1564790400000,58.5,54.1,14.4,11.8
-1562198400000,57.7,58.5,14.1,14.4
-1559520000000,56.4,57.7,13.6,14.1
-1556841600000,54.3,56.4,13,13.6
-1554249600000,50.5,54.3,10.4,13
-1551571200000,42.9,50.5,6.8,10.4
-1548979200000,39.8,42.9,4.2,6.8
-1546300800000,44.2,39.8,7.3,4.2
-1543622400000,39.8,44.2,4.8,7.3
-1541203200000,45.1,39.8,7.4,4.8
-1538524800000,47,45.1,8,7.4
-1535932800000,54.1,47,11.5,8
-1533254400000,58.7,54.1,14.7,11.5
-1530662400000,66.3,58.7,18.5,14.7
-1527984000000,59.9,66.3,15.4,18.5
-1525305600000,57,59.9,14.1,15.4
-1522713600000,54.2,57,12.8,14.1
-1520035200000,39.7,54.2,4.6,12.8
-1517443200000,42.8,39.7,6.5,4.6
-1514764800000,37.5,42.8,3.7,6.5
-1512086400000,38.7,37.5,4.4,3.7
-1509667200000,39.5,38.7,4.6,4.4
-1506988800000,42.1,39.5,5.5,4.6
-1504396800000,55.7,42.1,12.7,5.5
-1501718400000,57.8,55.7,13.8,12.7
-1499126400000,56.8,57.8,13.7,13.8
-1496448000000,54.3,56.8,13.6,13.7
-1493769600000,54.3,54.3,12.2,13.6
-1491177600000,47.1,54.3,8.199999999999999,12.2
-1488499200000,41.8,47.1,5.9,8.199999999999999
-1485907200000,41.7,41.8,5.8,5.9
-1483228800000,41.8,41.7,5.6,5.8
-1480550400000,40.1,41.8,5.6,5.6
-1478131200000,42.9,40.1,6.5,5.6
-1475452800000,45.8,42.9,7.6,6.5
-1472860800000,49.2,45.8,9.199999999999999,7.6
-1470182400000,52.7,49.2,12.5,9.199999999999999
-1467590400000,64.2,52.7,17.5,12.5
-1464912000000,59.6,64.2,15.2,17.5
-1462233600000,54.4,59.6,12.5,15.2
-1459641600000,49.2,54.4,9.699999999999999,12.5
-1456963200000,36.6,49.2,3.3,9.699999999999999
-1454371200000,37.6,36.6,3.8,3.3
-1451692800000,39.3,37.6,4.7,3.8
-1449014400000,37.5,39.3,3.3,4.7
-1446508800000,38.3,37.5,4.1,3.3
-1443830400000,45.5,38.3,6.9,4.1
-1441238400000,53.2,45.5,11.6,6.9
-1438560000000,57.7,53.2,13.9,11.6
-1435968000000,60.8,57.7,15.3,13.9
-1433289600000,58.2,60.8,14.1,15.3
-1430611200000,56.4,58.2,13.3,14.1
-1428019200000,49.8,56.4,10.1,13.3
-1425340800000,44.4,49.8,7.1,10.1
-1422748800000,43.6,44.4,6.8,7.1
-1420070400000,40,43.6,5.3,6.8
-1417392000000,40.5,40,5.2,5.3
-1414972800000,40.8,40.5,4.9,5.2
-1412294400000,45.1,40.8,7.5,4.9
-1409702400000,53.8,45.1,11.6,7.5
-1407024000000,59.4,53.8,15,11.6
-1404432000000,63.5,59.4,16.8,15
-1401753600000,61,63.5,15.4,16.8
-1399075200000,53,61,11.5,15.4
-1396483200000,50,53,10.4,11.5
-1393804800000,38.1,50,3.6,10.4
-1391212800000,36.3,38.1,2.8,3.6
-1388534400000,39.2,36.3,4.6,2.8
-1385856000000,43.4,39.2,6.8,4.6
-1383436800000,43.4,43.4,6.3,6.8
-1380758400000,48.9,43.4,9.300000000000001,6.3
-1378166400000,50.6,48.9,10.2,9.300000000000001
-1375488000000,56.8,50.6,13.6,10.2
-1372896000000,62.5,56.8,17.1,13.6
-1370217600000,62,62.5,16.2,17.1
-1367539200000,57.5,62,14.4,16.2
-1364947200000,46.7,57.5,8.1,14.4
-1362268800000,41.6,46.7,5.9,8.1
-1359676800000,39.8,41.6,4.2,5.9
-1356998400000,39.4,39.8,4.6,4.2
-1354320000000,38.5,39.4,3.9,4.6
-1351900800000,45.3,38.5,7.3,3.9
-1349222400000,47.1,45.3,7.9,7.3
-1346630400000,51.7,47.1,11.2,7.9
-1343952000000,55,51.7,12.6,11.2
-1341360000000,60.4,55,15.9,12.6
-1338681600000,60.5,60.4,15.7,15.9
-1336003200000,54.7,60.5,12.5,15.7
-1333411200000,50.3,54.7,10.5,12.5
-1330732800000,42.3,50.3,6.2,10.5
-1328140800000,35.2,42.3,2.1,6.2
-1325462400000,40.8,35.2,5.2,2.1
-1322784000000,41.1,40.8,5.8,5.2
-1320278400000,42.8,41.1,6.3,5.8
-1317600000000,47.3,42.8,8.5,6.3
-1315008000000,50.9,47.3,10.9,8.5
-1312329600000,56.4,50.9,12.9,10.9
-1309737600000,62.2,56.4,16.1,12.9
-1307059200000,60.5,62.2,15.3,16.1
-1304380800000,55.4,60.5,12.8,15.3
-1301788800000,50.2,55.4,10.1,12.8
-1299110400000,43,50.2,7.6,10.1
-1296518400000,37.3,43,3.4,7.6
-1293840000000,34.8,37.3,1.3,3.4
-1291161600000,31.3,34.8,0.4,1.3
-1288742400000,41,31.3,6.2,0.4
-1286064000000,43.9,41,6.8,6.2
-1283472000000,53.1,43.9,11.3,6.8
-1280793600000,56.9,53.1,13.3,11.3
-1278201600000,62.5,56.9,16,13.3
-1275523200000,60.3,62.5,15.4,16
-1272844800000,59.8,60.3,15.3,15.4
-1270252800000,49.2,59.8,9.6,15.3
-1267574400000,42.9,49.2,6.7,9.6
-1264982400000,41.9,42.9,5.8,6.7
-1262304000000,41.6,41.9,5.6,5.8
-1259625600000,37.1,41.6,2.5,5.6
-1257206400000,41.2,37.1,5.3,2.5
-1254528000000,46.9,41.2,8.300000000000001,5.3
-1251936000000,51.2,46.9,10.7,8.300000000000001
-1249257600000,60.4,51.2,15.3,10.7
-1246665600000,60.1,60.4,15.2,15.3
-1243987200000,61.6,60.1,15.7,15.2
-1241308800000,57,61.6,13.6,15.7
-1238716800000,50.9,57,10.5,13.6
-1236038400000,43,50.9,6.2,10.5
-1233446400000,38.8,43,4.3,6.2
-1230768000000,37.1,38.8,3.2,4.3
-1228089600000,38.4,37.1,3.9,3.2
-1225670400000,38.4,38.4,4.2,3.9
-1222992000000,46.5,38.4,7.7,4.2
-1220400000000,53.5,46.5,11.4,7.7
-1217721600000,58.4,53.5,14.4,11.4
-1215129600000,60.6,58.4,15.3,14.4
-1212451200000,58.2,60.6,14.4,15.3
-1209772800000,53.8,58.2,11.5,14.4
-1207180800000,46.6,53.8,8.800000000000001,11.5
-1204502400000,45.5,46.6,7.8,8.800000000000001
-1201910400000,40.6,45.5,5.3,7.8
-1199232000000,42.4,40.6,6.3,5.3
-1196553600000,38.4,42.4,2.9,6.3
-1194048000000,40.3,38.4,4.7,2.9
-1191369600000,44.6,40.3,6.9,4.7
-1188777600000,50.9,44.6,10.5,6.9
-1186099200000,57,50.9,14.1,10.5
-1183507200000,62.1,57,16.1,14.1
-1180828800000,63.5,62.1,17.1,16.1
-1178150400000,56.2,63.5,12.9,17.1
-1175558400000,47.3,56.2,8.800000000000001,12.9
-1172880000000,43.6,47.3,6.6,8.800000000000001
-1170288000000,41.8,43.6,5.7,6.6
-1167609600000,36.2,41.8,2.2,5.7
-1164931200000,39.3,36.2,4.3,2.2
-1162512000000,44.5,39.3,7.3,4.3
-1159833600000,48.7,44.5,8.800000000000001,7.3
-1157241600000,54.2,48.7,12.2,8.800000000000001
-1154563200000,60.8,54.2,15.6,12.2
-1151971200000,65.5,60.8,17.8,15.6
-1149292800000,64.90000000000001,65.5,17.6,17.8
-1146614400000,60.1,64.90000000000001,14.9,17.6
-1144022400000,50.2,60.1,10.1,14.9
-1141344000000,42.1,50.2,5.6,10.1
-1138752000000,35.6,42.1,1.6,5.6
-1136073600000,39.4,35.6,4.1,1.6
-1133395200000,38.2,39.4,3.8,4.1
-1130976000000,40.4,38.2,4.8,3.8
-1128297600000,46.9,40.4,8,4.8
-1125705600000,53.4,46.9,11.3,8
-1123027200000,59.6,53.4,14.9,11.3
-1120435200000,66.5,59.6,18.2,14.9
-1117756800000,60.4,66.5,15.4,18.2
-1115078400000,59.2,60.4,14.6,15.4
-1112486400000,51.2,59.2,10.6,14.6
-1109808000000,42.8,51.2,6.1,10.6
-1107216000000,45.8,42.8,8.1,6.1
-1104537600000,40.4,45.8,4.5,8.1
-1101859200000,42.6,40.4,5.8,4.5
-1099440000000,43.5,42.6,6.6,5.8
-1096761600000,47.1,43.5,8.199999999999999,6.6
-1094169600000,50,47.1,9.9,8.199999999999999
-1091491200000,60.5,50,15.1,9.9
-1088899200000,64.59999999999999,60.5,17.1,15.1
-1086220800000,64,64.59999999999999,16.6,17.1
-1083542400000,56.8,64,13.6,16.6
-1080950400000,48.6,56.8,9.5,13.6
-1078272000000,44.2,48.6,6.9,9.5
-1075680000000,36.4,44.2,2.8,6.9
-1073001600000,37.3,36.4,3.7,2.8
-1070323200000,35,37.3,2.6,3.7
-1067817600000,44,35,7.1,2.6
-1065139200000,43.9,44,6.3,7.1
-1062547200000,52.7,43.9,11.5,6.3
-1059868800000,58.6,52.7,14.7,11.5
-1057276800000,60,58.6,15.3,14.7
-1054598400000,61.1,60,16.1,15.3
-1051920000000,58.1,61.1,14.4,16.1
-1049328000000,49.6,58.1,9.4,14.4
-1046649600000,41.6,49.6,5.5,9.4
-1044057600000,41.3,41.6,5.3,5.5
-1041379200000,40.8,41.3,5.2,5.3
-1038700800000,41,40.8,5.6,5.2
-1036281600000,38.4,41,3.6,5.6
-1033603200000,47.4,38.4,9.199999999999999,3.6
-1031011200000,54.1,47.4,12.2,9.199999999999999
-1028332800000,58.6,54.1,14.1,12.2
-1025740800000,61.4,58.6,16.1,14.1
-1023062400000,61.8,61.4,16.9,16.1
-1020384000000,56.3,61.8,13.4,16.9
-1017792000000,50.9,56.3,10.4,13.4
-1015113600000,41.4,50.9,5.1,10.4
-1012521600000,37.1,41.4,3,5.1
-1009843200000,42.1,37.1,5.7,3
-1007164800000,41.2,42.1,5.1,5.7
-1004745600000,47.3,41.2,9.1,5.1
-1002067200000,46.6,47.3,7.6,9.1
-999475200000,52.4,46.6,10.7,7.6
-996796800000,59,52.4,14.4,10.7
-994204800000,59.6,59,15.2,14.4
-991526400000,60.4,59.6,16.3,15.2
-988848000000,57,60.4,13.8,16.3
-986256000000,50.7,57,10.5,13.8
-983577600000,47.8,50.7,9.4,10.5
-980985600000,39.2,47.8,4.4,9.4
-978307200000,39.4,39.2,4.2,4.4
-975628800000,40.9,39.4,5.6,4.2
-973209600000,42.4,40.9,5.8,5.6
-970531200000,47.8,42.4,8.800000000000001,5.8
-967939200000,52.4,47.8,11.4,8.800000000000001
-965260800000,58,52.4,14.2,11.4
-962668800000,60.7,58,15.5,14.2
-959990400000,61.8,60.7,16.4,15.5
-957312000000,58.2,61.8,14.2,16.4
-954720000000,46.7,58.2,8.199999999999999,14.2
-952041600000,46.6,46.7,8.699999999999999,8.199999999999999
